Time [ms],Corrected Value
"15900.0","5.8873"
"15920.0","6.0541"
"15940.0","6.1507"
"15960.0","6.4455"
"15980.0","6.0779"
"16000.0","5.8081"
"16020.0","5.9853"
"16040.0","6.1248"
"16060.0","6.0904"
"16080.0","6.0825"
"16100.0","5.9613"
"16120.0","5.9928"
"16140.0","6.0436"
"16160.0","6.0436"
"16180.0","5.9790"
"16200.0","5.6124"
"16220.0","5.9614"
"16240.0","5.9987"
"16260.0","6.1759"
"16280.0","6.1042"
"16300.0","5.6039"
"16320.0","5.9796"
"16340.0","6.0026"
"16360.0","6.2550"
"16380.0","6.0083"
"16400.0","5.6535"
"16420.0","5.9128"
"16440.0","6.0774"
"16460.0","6.0705"
"16480.0","6.1745"
"16500.0","5.5770"
"16520.0","5.6737"
"16540.0","6.0766"
"16560.0","6.2700"
"16580.0","5.9424"
"16600.0","5.7048"
"16620.0","5.9299"
"16640.0","6.0934"
"16660.0","6.2188"
"16680.0","5.9043"
"16700.0","5.6314"
"16720.0","5.9228"
"16740.0","5.8458"
"16760.0","6.0575"
"16780.0","5.9974"
"16800.0","5.8450"
"16820.0","6.0301"
"16840.0","6.0693"
"16860.0","6.3543"
"16880.0","5.9458"
"16900.0","5.8353"
"16920.0","5.9647"
"16940.0","5.8542"
"16960.0","6.2839"
"16980.0","6.0479"
"17000.0","5.9202"
"17020.0","5.9964"
"17040.0","6.0708"
"17060.0","6.2651"
"17080.0","6.1260"
"17100.0","5.9706"
"17120.0","6.0937"
"17140.0","6.0827"
"17160.0","6.1048"
"17180.0","5.9628"
"17200.0","5.7794"
"17220.0","6.0533"
"17240.0","6.0130"
"17260.0","6.2246"
"17280.0","6.0755"
"17300.0","5.8603"
"17320.0","5.9598"
"17340.0","6.0051"
"17360.0","6.0631"
"17380.0","6.0141"
"17400.0","5.6682"
"17420.0","5.7773"
"17440.0","5.9368"
"17460.0","6.2578"
"17480.0","5.9478"
"17500.0","5.7138"
"17520.0","5.8453"
"17540.0","6.0833"
"17560.0","6.3787"
"17580.0","5.9250"
"17600.0","5.9007"
"17620.0","5.9132"
"17640.0","6.0513"
"17660.0","6.1792"
"17680.0","6.0658"
"17700.0","5.9329"
"17720.0","5.8809"
"17740.0","5.9345"
"17760.0","6.2265"
"17780.0","6.0350"
"17800.0","5.9956"
"17820.0","5.8259"
"17840.0","5.9634"
"17860.0","6.2397"
"17880.0","6.0435"
"17900.0","5.9655"
"17920.0","5.9583"
"17940.0","6.1090"
"17960.0","6.2648"
"17980.0","6.0789"
"18000.0","5.7608"
"18020.0","5.9695"
"18040.0","5.9210"
"18060.0","6.2449"
"18080.0","6.2474"
"18100.0","5.8239"
"18120.0","5.8925"
"18140.0","5.9551"
"18160.0","6.1824"
"18180.0","5.9999"
"18200.0","5.8006"
"18220.0","5.8264"
"18240.0","5.8651"
"18260.0","6.2520"
"18280.0","5.9730"
"18300.0","5.6384"
"18320.0","5.7235"
"18340.0","6.0071"
"18360.0","6.4333"
"18380.0","6.0963"
"18400.0","5.9908"
"18420.0","5.8793"
"18440.0","5.9647"
"18460.0","6.3672"
"18480.0","6.0029"
"18500.0","5.8660"
"18520.0","5.8355"
"18540.0","6.0562"
"18560.0","6.1433"
"18580.0","6.1395"
"18600.0","5.9540"
"18620.0","5.9954"
"18640.0","6.0308"
"18660.0","6.2075"
"18680.0","5.9458"
"18700.0","5.9959"
"18720.0","5.9899"
"18740.0","5.9202"
"18760.0","6.2056"
"18780.0","6.1291"
"18800.0","5.9536"
"18820.0","6.0109"
"18840.0","5.9917"
"18860.0","6.2455"
"18880.0","6.0257"
"18900.0","5.7817"
"18920.0","5.8787"
"18940.0","6.0540"
"18960.0","6.2374"
"18980.0","5.9258"
"19000.0","5.7001"
"19020.0","5.6605"
"19040.0","6.0017"
"19060.0","6.1959"
"19080.0","5.9339"
"19100.0","5.8549"
"19120.0","5.8399"
"19140.0","5.9979"
"19160.0","6.3079"
"19180.0","6.0665"
"19200.0","5.6389"
"19220.0","5.7164"
"19240.0","6.0311"
"19260.0","6.2315"
"19280.0","5.9865"
"19300.0","6.1094"
"19320.0","5.8720"
"19340.0","6.0697"
"19360.0","6.3810"
"19380.0","6.1778"
"19400.0","5.8763"
"19420.0","5.7999"
"19440.0","6.0273"
"19460.0","6.2758"
"19480.0","6.0021"
"19500.0","5.9479"
"19520.0","5.8162"
"19540.0","6.1260"
"19560.0","6.3551"
"19580.0","6.0934"
"19600.0","6.0402"
"19620.0","5.9788"
"19640.0","6.0653"
"19660.0","6.2297"
"19680.0","6.1297"
"19700.0","6.0468"
"19720.0","5.8751"
"19740.0","6.0109"
"19760.0","6.3184"
"19780.0","5.9504"
"19800.0","5.8115"
"19820.0","5.8989"
"19840.0","5.9295"
"19860.0","6.2982"
"19880.0","6.1351"
"19900.0","5.9622"
"19920.0","5.8747"
"19940.0","6.1139"
"19960.0","6.3522"
"19980.0","6.1419"
"20000.0","5.7380"
"20020.0","5.7869"
"20040.0","6.0752"
"20060.0","6.4006"
"20080.0","5.9334"
