Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100187.0","-3.5215","-3.6799","-3.6503","-3.6474","0.0000"
"100188.0","-3.4160","-3.6461","-3.6500","-3.6474","0.0000"
"100189.0","-3.4247","-3.6202","-3.6498","-3.6474","0.0000"
"100190.0","-3.4406","-3.5937","-3.6496","-3.6474","0.0000"
"100191.0","-3.5815","-3.5752","-3.6495","-3.6474","0.0000"
"100192.0","-3.7114","-3.5677","-3.6496","-3.6474","0.0000"
"100193.0","-3.6946","-3.5621","-3.6497","-3.6474","0.0000"
"100194.0","-3.7258","-3.5686","-3.6497","-3.6474","0.0000"
"100195.0","-3.7500","-3.5796","-3.6498","-3.6474","0.0000"
"100196.0","-3.8520","-3.6118","-3.6500","-3.6474","0.0000"
"100197.0","-3.8985","-3.6495","-3.6503","-3.6474","0.0000"
"100198.0","-3.7390","-3.6818","-3.6504","-3.6474","0.0000"
"100199.0","-3.7878","-3.7181","-3.6505","-3.6474","0.0000"
"100200.0","-3.6956","-3.7436","-3.6506","-3.6474","0.0000"
"100201.0","-3.6258","-3.7480","-3.6505","-3.6474","0.0000"
"100202.0","-3.5674","-3.7336","-3.6504","-3.6474","0.0000"
"100203.0","-3.5868","-3.7229","-3.6504","-3.6474","0.0000"
"100204.0","-3.4816","-3.6984","-3.6502","-3.6474","0.0000"
"100205.0","-3.4590","-3.6693","-3.6500","-3.6474","0.0000"
"100206.0","-3.5906","-3.6432","-3.6500","-3.6474","0.0000"
"100207.0","-3.5460","-3.6080","-3.6499","-3.6474","0.0000"
"100208.0","-3.5701","-3.5911","-3.6498","-3.6474","0.0000"
"100209.0","-3.6186","-3.5741","-3.6497","-3.6474","0.0000"
"100210.0","-3.6048","-3.5651","-3.6497","-3.6474","0.0000"
"100211.0","-3.7241","-3.5749","-3.6498","-3.6474","0.0000"
"100212.0","-3.7241","-3.5906","-3.6498","-3.6474","0.0000"
"100213.0","-3.7715","-3.6090","-3.6500","-3.6474","0.0000"
"100214.0","-3.8441","-3.6453","-3.6502","-3.6474","0.0000"
"100215.0","-3.6700","-3.6664","-3.6502","-3.6474","0.0000"
"100216.0","-3.6140","-3.6687","-3.6501","-3.6474","0.0000"
"100217.0","-3.7225","-3.6864","-3.6502","-3.6474","0.0000"
"100218.0","-3.6600","-3.6954","-3.6502","-3.6474","0.0000"
"100219.0","-3.5035","-3.6838","-3.6501","-3.6474","0.0000"
"100220.0","-3.4846","-3.6718","-3.6499","-3.6474","0.0000"
