Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"300205.0","40.8284","40.0441","41.2009","-0.0500"
"300206.0","39.3863","40.1060","40.2936","-0.0500"
"300207.0","37.5925","39.9723","38.9430","-0.0500"
"300208.0","36.4912","39.7171","37.7171","-0.0500"
"300209.0","36.5592","39.4920","37.1382","-0.0500"
"300210.0","36.6081","39.2857","36.8732","-0.0500"
"300211.0","36.6965","38.9401","36.7848","-0.0500"
"300212.0","36.5036","38.4562","36.6442","-0.0500"
"300213.0","36.6929","37.9352","36.6685","-0.0500"
"300214.0","36.8296","37.4188","36.7491","-0.0500"
"300215.0","36.5878","36.9948","36.6684","-0.0500"
"300216.0","36.5343","36.7096","36.6014","-0.0500"
"300217.0","37.0439","36.6547","36.8226","-0.0500"
"300218.0","38.6177","36.8674","37.7202","-0.0500"
"300219.0","39.1682","37.1283","38.4442","-0.0500"
"300220.0","39.3151","37.3990","38.8796","-0.0500"
"300221.0","38.8135","37.6107","38.8466","-0.0500"
"300222.0","37.5842","37.7187","38.2154","-0.0500"
"300223.0","35.7934","37.6288","37.0044","-0.0500"
"300224.0","34.4858","37.3944","35.7451","-0.0500"
"300225.0","34.2004","37.1557","34.9728","-0.0500"
"300226.0","34.5185","36.9541","34.7456","-0.0500"
"300227.0","34.4507","36.6948","34.5982","-0.0500"
"300228.0","34.4611","36.2791","34.5296","-0.0500"
"300229.0","34.5273","35.8150","34.5285","-0.0500"
"300230.0","34.6710","35.3506","34.5997","-0.0500"
"300231.0","34.9423","34.9635","34.7710","-0.0500"
"300232.0","34.6052","34.6656","34.6881","-0.0500"
"300233.0","35.0005","34.5863","34.8443","-0.0500"
"300234.0","36.3527","34.7730","35.5985","-0.0500"
"300235.0","36.3527","34.9882","35.9756","-0.0500"
"300236.0","37.3518","35.2715","36.6637","-0.0500"
"300237.0","37.7045","35.5969","37.1841","-0.0500"
"300238.0","37.5002","35.9008","37.3422","-0.0500"
"300239.0","36.2131","36.0694","36.7776","-0.0500"
"300240.0","34.8659","36.0889","35.8218","-0.0500"
"300241.0","33.4066","35.9353","34.6142","-0.0500"
"300242.0","32.8872","35.7635","33.7507","-0.0500"
"300243.0","33.1325","35.5767","33.4416","-0.0500"
"300244.0","33.4962","35.2911","33.4689","-0.0500"
"300245.0","33.3270","34.9885","33.3980","-0.0500"
"300246.0","33.1711","34.5704","33.2845","-0.0500"
"300247.0","33.5449","34.1545","33.4147","-0.0500"
"300248.0","33.7742","33.7819","33.5945","-0.0500"
"300249.0","33.4770","33.5083","33.5357","-0.0500"
"300250.0","33.6195","33.3836","33.5776","-0.0500"
"300251.0","34.9617","33.5391","34.2697","-0.0500"
"300252.0","36.2767","33.8781","35.2732","-0.0500"
"300253.0","36.6847","34.2333","35.9789","-0.0500"
"300254.0","36.8427","34.5680","36.4108","-0.0500"
"300255.0","36.3329","34.8685","36.3719","-0.0500"
"300256.0","34.7796","35.0294","35.5757","-0.0500"
"300257.0","33.0949","34.9844","34.3353","-0.0500"
"300258.0","32.5573","34.8627","33.4463","-0.0500"
"300259.0","32.7187","34.7869","33.0825","-0.0500"
"300260.0","33.1618","34.7411","33.1221","-0.0500"
"300261.0","33.0834","34.5533","33.1028","-0.0500"
"300262.0","32.9160","34.2172","33.0094","-0.0500"
"300263.0","33.4793","33.8967","33.2444","-0.0500"
"300264.0","33.7442","33.5868","33.4943","-0.0500"
"300265.0","33.8735","33.3409","33.6839","-0.0500"
"300266.0","33.7145","33.2344","33.6992","-0.0500"
"300267.0","34.5972","33.3846","34.1482","-0.0500"
"300268.0","35.9020","33.7191","35.0251","-0.0500"
"300269.0","36.8110","34.1283","35.9180","-0.0500"
"300270.0","37.1015","34.5223","36.5098","-0.0500"
"300271.0","36.7691","34.8908","36.6394","-0.0500"
"300272.0","35.7681","35.1760","36.2038","-0.0500"
"300273.0","33.9940","35.2275","35.0989","-0.0500"
"300274.0","32.7719","35.1303","33.9354","-0.0500"
"300275.0","33.0986","35.0528","33.5170","-0.0500"
"300276.0","33.4988","35.0312","33.5079","-0.0500"
"300277.0","33.4486","34.9164","33.4783","-0.0500"
"300278.0","33.4886","34.6750","33.4834","-0.0500"
"300279.0","33.7472","34.3687","33.6153","-0.0500"
"300280.0","33.7472","34.0332","33.6813","-0.0500"
"300281.0","34.1305","33.7694","33.9059","-0.0500"
"300282.0","34.3650","33.6291","34.1355","-0.0500"
"300283.0","34.3951","33.6692","34.2653","-0.0500"
"300284.0","34.9226","33.8842","34.5939","-0.0500"
"300285.0","36.2410","34.1985","35.4175","-0.0500"
"300286.0","37.1959","34.5682","36.3067","-0.0500"
"300287.0","37.8205","35.0054","37.0636","-0.0500"
"300288.0","37.7607","35.4326","37.4122","-0.0500"
"300289.0","36.9388","35.7517","37.1755","-0.0500"
"300290.0","35.2079","35.8978","36.1917","-0.0500"
"300291.0","33.7660","35.8614","34.9789","-0.0500"
"300292.0","33.7379","35.7987","34.3584","-0.0500"
"300293.0","34.1704","35.7762","34.2644","-0.0500"
"300294.0","34.4760","35.7315","34.3702","-0.0500"
"300295.0","34.2653","35.5340","34.3178","-0.0500"
"300296.0","34.4397","35.2583","34.3787","-0.0500"
"300297.0","34.9419","34.9705","34.6603","-0.0500"
"300298.0","35.1164","34.7060","34.8884","-0.0500"
"300299.0","35.1458","34.5267","35.0171","-0.0500"
"300300.0","35.3752","34.5435","35.1961","-0.0500"
"300301.0","36.5195","34.8188","35.8578","-0.0500"
"300302.0","37.7794","35.2230","36.8186","-0.0500"
"300303.0","38.6170","35.6676","37.7178","-0.0500"
"300304.0","38.7239","36.0924","38.2209","-0.0500"
"300305.0","37.8793","36.4538","38.0501","-0.0500"
"300306.0","36.2898","36.6388","37.1699","-0.0500"
"300307.0","34.8994","36.6346","36.0347","-0.0500"
"300308.0","34.2385","36.5468","35.1366","-0.0500"
"300309.0","34.7296","36.5052","34.9331","-0.0500"
"300310.0","34.9265","36.4603","34.9298","-0.0500"
"300311.0","34.9436","36.3027","34.9367","-0.0500"
"300312.0","35.0875","36.0335","35.0121","-0.0500"
"300313.0","35.6521","35.7370","35.3321","-0.0500"
"300314.0","36.0171","35.4663","35.6746","-0.0500"
"300315.0","35.7579","35.2542","35.7162","-0.0500"
"300316.0","36.0571","35.2309","35.8867","-0.0500"
"300317.0","37.1298","35.4540","36.5082","-0.0500"
"300318.0","38.7784","35.9080","37.6433","-0.0500"
"300319.0","39.5291","36.3879","38.5862","-0.0500"
"300320.0","39.6453","36.8598","39.1158","-0.0500"
"300321.0","39.1507","37.2805","39.1333","-0.0500"
"300322.0","37.8999","37.5617","38.5166","-0.0500"
"300323.0","36.1858","37.6151","37.3512","-0.0500"
"300324.0","35.0907","37.5225","36.2209","-0.0500"
"300325.0","35.3698","37.4837","35.7953","-0.0500"
"300326.0","35.3698","37.4149","35.5825","-0.0500"
"300327.0","35.7763","37.2796","35.6794","-0.0500"
"300328.0","35.7851","36.9802","35.7323","-0.0500"
"300329.0","35.8518","36.6125","35.7920","-0.0500"
"300330.0","35.9935","36.2473","35.8928","-0.0500"
"300331.0","36.3145","35.9637","36.1036","-0.0500"
"300332.0","36.4648","35.8202","36.2842","-0.0500"
"300333.0","36.4048","35.8421","36.3445","-0.0500"
"300334.0","37.3138","36.0644","36.8292","-0.0500"
"300335.0","38.8583","36.4133","37.8437","-0.0500"
"300336.0","39.8520","36.8615","38.8479","-0.0500"
"300337.0","40.4498","37.3288","39.6488","-0.0500"
"300338.0","40.1905","37.7694","39.9197","-0.0500"
"300339.0","39.1210","38.0963","39.5203","-0.0500"
"300340.0","37.6041","38.2574","38.5622","-0.0500"
"300341.0","36.0910","38.2350","37.3266","-0.0500"
"300342.0","35.8682","38.1754","36.5974","-0.0500"
"300343.0","36.5387","38.1887","36.5680","-0.0500"
"300344.0","36.8188","38.1392","36.6934","-0.0500"
"300345.0","36.7563","37.9290","36.7248","-0.0500"
"300346.0","36.9776","37.6416","36.8512","-0.0500"
"300347.0","37.5649","37.3531","37.2080","-0.0500"
"300348.0","37.5077","37.0848","37.3579","-0.0500"
"300349.0","37.4235","36.9151","37.3907","-0.0500"
"300350.0","37.8815","36.9428","37.6361","-0.0500"
"300351.0","39.4744","37.2812","38.5553","-0.0500"
"300352.0","40.6776","37.7621","39.6164","-0.0500"
"300353.0","41.0264","38.2109","40.3214","-0.0500"
"300354.0","41.0179","38.6308","40.6697","-0.0500"
"300355.0","40.0472","38.9599","40.3584","-0.0500"
"300356.0","38.3950","39.1016","39.3767","-0.0500"
"300357.0","36.9042","39.0355","38.1404","-0.0500"
"300358.0","36.2917","38.9139","37.2161","-0.0500"
"300359.0","36.5961","38.8312","36.9061","-0.0500"
"300360.0","37.1301","38.7561","37.0181","-0.0500"
"300361.0","37.0979","38.5184","37.0580","-0.0500"
"300362.0","37.2894","38.1796","37.1737","-0.0500"
"300363.0","37.6181","37.8387","37.3959","-0.0500"
"300364.0","37.7849","37.5154","37.5904","-0.0500"
"300365.0","37.8191","37.2926","37.7047","-0.0500"
"300366.0","38.1047","37.2636","37.9047","-0.0500"
"300367.0","39.2769","37.5009","38.5908","-0.0500"
"300368.0","40.7306","37.9448","39.6607","-0.0500"
"300369.0","41.4629","38.4314","40.5618","-0.0500"
"300370.0","41.7904","38.8975","41.1761","-0.0500"
"300371.0","41.0567","39.2934","41.1164","-0.0500"
"300372.0","41.0567","39.6701","41.0865","-0.0500"
"300373.0","39.7402","39.8823","40.4134","-0.0500"
"300374.0","37.9435","39.8982","39.1784","-0.0500"
"300375.0","36.9986","39.8161","38.0885","-0.0500"
"300376.0","37.1901","39.7247","37.6393","-0.0500"
"300377.0","37.6709","39.5641","37.6551","-0.0500"
"300378.0","37.6987","39.2609","37.6769","-0.0500"
"300379.0","37.6641","38.8810","37.6705","-0.0500"
"300380.0","38.0403","38.5060","37.8554","-0.0500"
"300381.0","38.5693","38.2572","38.2123","-0.0500"
"300382.0","38.4603","37.9976","38.3363","-0.0500"
"300383.0","38.5114","37.8747","38.4239","-0.0500"
"300384.0","39.4829","38.0287","38.9534","-0.0500"
"300385.0","40.9802","38.4268","39.9668","-0.0500"
"300386.0","41.8134","38.8891","40.8901","-0.0500"
"300387.0","42.3085","39.3529","41.5993","-0.0500"
"300388.0","41.9013","39.7732","41.7503","-0.0500"
"300389.0","40.7289","40.0796","41.2396","-0.0500"
"300390.0","39.1302","40.1886","40.1849","-0.0500"
"300391.0","37.6331","40.0950","38.9090","-0.0500"
"300392.0","37.7290","40.0219","38.3190","-0.0500"
"300393.0","38.1667","39.9874","38.2428","-0.0500"
"300394.0","38.5404","39.8932","38.3916","-0.0500"
"300395.0","38.4608","39.6412","38.4262","-0.0500"
"300396.0","38.6588","39.3258","38.5425","-0.0500"
"300397.0","39.0571","39.0006","38.7998","-0.0500"
"300398.0","39.1633","38.7268","38.9816","-0.0500"
"300399.0","39.1822","38.5722","39.0819","-0.0500"
"300400.0","39.9155","38.6507","39.4987","-0.0500"
"300401.0","41.2266","39.0100","40.3627","-0.0500"
"300402.0","42.6578","39.5029","41.5102","-0.0500"
"300403.0","42.9556","39.9818","42.2329","-0.0500"
"300404.0","42.8452","40.4123","42.5390","-0.0500"
"300405.0","41.8560","40.7518","42.1975","-0.0500"
"300406.0","40.2006","40.9060","41.1991","-0.0500"
"300407.0","38.9200","40.8923","40.0595","-0.0500"
"300408.0","38.3255","40.8085","39.1925","-0.0500"
"300409.0","38.7729","40.7676","38.9827","-0.0500"
"300410.0","39.3916","40.7152","39.1871","-0.0500"
"300411.0","39.1290","40.5054","39.1580","-0.0500"
"300412.0","39.1897","40.1586","39.1739","-0.0500"
"300413.0","40.0000","39.8630","39.5869","-0.0500"
"300414.0","40.0234","39.5809","39.8052","-0.0500"
"300415.0","40.2578","39.4210","40.0315","-0.0500"
"300416.0","40.3667","39.4376","40.1991","-0.0500"
"300417.0","40.3667","39.5823","40.2829","-0.0500"
"300418.0","41.8316","39.9329","41.0572","-0.0500"
"300419.0","43.3756","40.3932","42.2164","-0.0500"
"300420.0","43.8690","40.8409","43.0427","-0.0500"
"300421.0","44.3554","41.3636","43.6990","-0.0500"
"300422.0","43.5419","41.7988","43.6204","-0.0500"
"300423.0","42.1349","42.0123","42.8777","-0.0500"
"300424.0","40.4391","42.0539","41.6584","-0.0500"
"300425.0","39.4401","41.9721","40.5492","-0.0500"
"300426.0","40.0661","41.9420","40.3077","-0.0500"
"300427.0","40.2733","41.9327","40.2905","-0.0500"
"300428.0","40.5720","41.8067","40.4312","-0.0500"
"300429.0","40.5621","41.5254","40.4967","-0.0500"
"300430.0","41.1775","41.2562","40.8371","-0.0500"
"300431.0","41.3430","40.9550","41.0900","-0.0500"
"300432.0","41.3527","40.7361","41.2214","-0.0500"
"300433.0","41.6110","40.6837","41.4162","-0.0500"
"300434.0","42.7982","40.9196","42.1072","-0.0500"
"300435.0","44.2839","41.4040","43.1955","-0.0500"
"300436.0","45.4751","41.9449","44.3353","-0.0500"
"300437.0","45.9786","42.5154","45.1569","-0.0500"
"300438.0","45.4360","43.0018","45.2964","-0.0500"
"300439.0","44.0361","43.3492","44.6663","-0.0500"
"300440.0","42.2889","43.4603","43.4776","-0.0500"
"300441.0","41.0458","43.4306","42.2617","-0.0500"
"300442.0","41.1339","43.4087","41.6978","-0.0500"
"300443.0","41.6497","43.4126","41.6738","-0.0500"
"300444.0","41.9308","43.3259","41.8023","-0.0500"
"300445.0","41.8584","43.0833","41.8304","-0.0500"
"300446.0","42.0369","42.7395","41.9336","-0.0500"
"300447.0","42.5365","42.3953","42.2351","-0.0500"
"300448.0","42.7658","42.1283","42.5004","-0.0500"
"300449.0","42.9839","42.0231","42.7421","-0.0500"
"300450.0","43.3620","42.1304","43.0521","-0.0500"
"300451.0","45.2512","42.5509","44.1516","-0.0500"
"300452.0","46.6400","43.1015","45.3958","-0.0500"
"300453.0","47.3615","43.6727","46.3787","-0.0500"
"300454.0","46.9164","44.1713","46.6475","-0.0500"
