Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
416,36:31.9,2237952,3.1587,,,,,
417,36:31.9,2238256,3.1919,,,,,
418,36:31.9,2237338,3.0918,,,,,
419,36:31.9,2236632,3.0148,,,,,
420,36:31.9,2238333,3.2003,,,,,
421,36:31.9,2238214,3.1873,,,,,
422,36:31.9,2237378,3.0962,,,,,
423,36:31.9,2238260,3.1923,,,,,
424,36:31.9,2238229,3.1889,,,,,
425,36:31.9,2237476,3.1068,,,,,
426,36:31.9,2237338,3.0918,,,,,
427,36:31.9,2237086,3.0643,,,,,
428,36:31.9,2237399,3.0984,,,,,
429,36:31.9,2237964,3.16,,,,,
430,36:31.9,2237853,3.1479,,,,,
431,36:31.9,2238134,3.1786,,,,,
432,36:31.9,2237950,3.1585,,,,,
433,36:31.9,2237508,3.1103,,,,,
434,36:31.9,2237539,3.1137,,,,,
435,36:31.9,2237073,3.0629,,,,,
436,36:31.9,2237379,3.0963,,,,,
437,36:31.9,2237379,3.0963,,,,,
438,36:31.9,2237203,3.0771,,,,,
439,36:31.9,2237039,3.0592,,,,,
440,36:32.0,2237213,3.0781,,,,,
441,36:32.0,2236532,3.0039,,,,,
442,36:32.0,2235011,2.8381,,,,,
443,36:32.0,2234845,2.82,,,,,
444,36:32.0,2233710,2.6963,,,,,
445,36:32.0,2234924,2.8286,,,,,
446,36:32.0,2234442,2.7761,,,,,
447,36:32.0,2234267,2.757,,,,,
448,36:32.0,2234188,2.7484,,,,,
449,36:32.0,2234476,2.7798,,,,,
450,36:32.0,2234727,2.8072,,,,,
451,36:32.0,2234844,2.8199,,,,,
452,36:32.0,2235715,2.9148,,,,,
453,36:32.0,2236010,2.947,,,,,
454,36:32.0,2235847,2.9292,,,,,
455,36:32.0,2236572,3.0083,,,,,
456,36:32.0,2236740,3.0266,,,,,
457,36:32.0,2237708,3.1321,,,,,
458,36:32.0,2236308,2.9795,,,,,
459,36:32.0,2236029,2.9491,,,,,
460,36:32.0,2235643,2.907,,,,,
461,36:32.0,2235273,2.8667,,,,,
462,36:32.0,2235027,2.8398,,,,,
463,36:32.0,2235120,2.85,,,,,
464,36:32.0,2235020,2.8391,,,,,
465,36:32.0,2235135,2.8516,,,,,
466,36:32.0,2234640,2.7977,,,,,
467,36:32.0,2233678,2.6928,,,,,
468,36:32.0,2233871,2.7138,,,,,
469,36:32.0,2233614,2.6858,,,,,
470,36:32.0,2234864,2.8221,,,,,
471,36:32.0,2233978,2.7255,,,,,
472,36:32.0,2234340,2.765,,,,,
473,36:32.0,2234138,2.7429,,,,,
474,36:32.0,2234184,2.748,,,,,
475,36:32.0,2234335,2.7644,,,,,
